Age,Gender,Job_Role,Industry,Years_of_Experience,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Stress_Level,Mental_Health_Condition,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality,Region
40,Female,Data Scientist,IT,3,Remote,52,4,Medium,Anxiety,Satisfied,2,Weekly,Good,Asia
31,Prefer not to say,Sales,IT,24,Remote,51,7,Low,Anxiety,Neutral,3,Daily,Poor,Asia
53,Non-binary,Marketing,Consulting,11,Onsite,22,12,Low,Depression,Neutral,3,Weekly,Poor,Asia
22,Female,Data Scientist,IT,22,Onsite,20,11,Low,Anxiety,Neutral,2,Weekly,Average,Asia
48,Male,Sales,Finance,10,Onsite,30,12,Low,Depression,Satisfied,3,None,Poor,Asia
31,Female,Designer,Healthcare,18,Remote,47,14,Low,None,Satisfied,5,Daily,Good,Asia
49,Male,Marketing,Consulting,20,Hybrid,20,1,High,None,Unsatisfied,5,Weekly,Poor,Asia
60,Prefer not to say,Project Manager,Healthcare,34,Onsite,46,15,Medium,Depression,Neutral,1,None,Average,Asia
26,Female,Software Engineer,Education,5,Hybrid,55,6,Medium,Burnout,Satisfied,1,Daily,Poor,Asia
42,Male,Software Engineer,IT,14,Remote,48,13,Low,Depression,Neutral,5,None,Good,Asia
25,Non-binary,Project Manager,Finance,20,Hybrid,28,4,Medium,Depression,Satisfied,2,None,Poor,Asia
42,Male,Marketing,Retail,27,Onsite,49,3,High,Anxiety,Satisfied,3,None,Good,Asia
27,Male,Project Manager,Consulting,21,Hybrid,21,7,Low,Burnout,Unsatisfied,3,Weekly,Average,Asia
54,Female,Data Scientist,Education,5,Hybrid,21,10,High,Burnout,Satisfied,4,None,Poor,Asia
50,Male,Designer,Finance,20,Hybrid,44,8,Low,Burnout,Unsatisfied,4,Daily,Poor,Asia
41,Male,Data Scientist,IT,31,Onsite,29,0,Medium,Burnout,Satisfied,5,None,Poor,Asia
44,Female,Project Manager,Manufacturing,2,Remote,54,8,Low,Burnout,Satisfied,3,None,Good,Asia
31,Prefer not to say,Data Scientist,Healthcare,19,Onsite,21,15,Low,Burnout,Satisfied,5,Daily,Good,Asia
32,Prefer not to say,Designer,Manufacturing,32,Onsite,53,5,Medium,Depression,Satisfied,1,None,Poor,Asia
36,Male,Data Scientist,Finance,4,Remote,22,7,Low,Burnout,Neutral,5,Daily,Good,Asia
49,Non-binary,Project Manager,Education,11,Hybrid,48,3,Low,Anxiety,Satisfied,1,Weekly,Average,Asia
49,Female,Project Manager,Healthcare,29,Hybrid,49,15,Low,Burnout,Neutral,4,None,Poor,Asia
47,Non-binary,HR,Education,18,Remote,35,15,High,Anxiety,Unsatisfied,2,Daily,Average,Asia
23,Female,Data Scientist,Consulting,31,Remote,26,9,Medium,Depression,Unsatisfied,2,None,Poor,Asia
60,Non-binary,Software Engineer,Retail,27,Remote,50,8,High,Anxiety,Satisfied,3,Daily,Poor,Asia
40,Non-binary,Designer,Consulting,12,Remote,32,9,Medium,Depression,Unsatisfied,1,None,Average,Asia
52,Male,Sales,Retail,2,Remote,40,1,Medium,Anxiety,Neutral,3,Weekly,Good,Asia
55,Female,Project Manager,IT,32,Hybrid,28,8,Low,Depression,Satisfied,1,None,Poor,Asia
51,Prefer not to say,Software Engineer,IT,14,Onsite,41,5,Medium,Burnout,Unsatisfied,2,None,Good,Asia
56,Female,HR,Education,5,Remote,60,9,Low,Anxiety,Satisfied,4,Weekly,Average,Asia
30,Female,HR,IT,20,Hybrid,39,6,High,None,Neutral,5,None,Average,Asia
33,Male,Software Engineer,Consulting,6,Onsite,23,6,High,Anxiety,Unsatisfied,2,Weekly,Good,Asia
23,Male,Project Manager,IT,8,Onsite,28,15,Medium,Depression,Satisfied,3,Weekly,Poor,Asia
31,Prefer not to say,Software Engineer,Consulting,18,Remote,31,6,High,None,Neutral,2,Weekly,Average,Asia
53,Non-binary,Software Engineer,Education,11,Remote,25,9,Medium,Burnout,Neutral,5,Weekly,Average,Asia
50,Non-binary,Project Manager,Finance,20,Onsite,32,13,Low,Burnout,Neutral,1,None,Good,Asia
58,Female,Project Manager,Retail,8,Hybrid,35,5,Medium,Depression,Neutral,5,Daily,Poor,Asia
60,Female,Marketing,Healthcare,17,Remote,55,7,Medium,Burnout,Unsatisfied,4,None,Poor,Asia
58,Non-binary,Designer,Finance,35,Hybrid,28,3,High,Depression,Neutral,2,None,Good,Asia
38,Female,Sales,Manufacturing,18,Remote,54,7,High,Anxiety,Satisfied,1,None,Average,Asia
56,Male,Marketing,Healthcare,8,Remote,33,8,Low,Burnout,Neutral,5,None,Poor,Asia
41,Female,Software Engineer,Education,2,Hybrid,48,4,Low,Anxiety,Unsatisfied,1,Weekly,Average,Asia
49,Male,Data Scientist,IT,35,Remote,24,1,Medium,None,Neutral,4,None,Good,Asia
23,Non-binary,Data Scientist,Healthcare,18,Remote,28,7,High,Burnout,Unsatisfied,3,None,Average,Asia
41,Prefer not to say,Project Manager,Finance,35,Onsite,28,14,Medium,Anxiety,Unsatisfied,1,Weekly,Good,Asia
42,Prefer not to say,HR,IT,10,Hybrid,44,13,High,Burnout,Neutral,1,None,Average,Asia
40,Male,Designer,Healthcare,3,Onsite,58,2,Low,Depression,Satisfied,3,Weekly,Average,Asia
22,Non-binary,Sales,Healthcare,7,Remote,35,14,Medium,Burnout,Neutral,5,None,Average,Asia
35,Prefer not to say,Marketing,Manufacturing,14,Hybrid,27,10,Low,Depression,Unsatisfied,5,None,Average,Asia
41,Prefer not to say,Designer,IT,32,Onsite,42,14,Low,None,Neutral,1,Weekly,Good,Asia
48,Non-binary,Designer,Manufacturing,16,Remote,51,8,Medium,Anxiety,Neutral,5,Weekly,Poor,Asia
45,Male,Marketing,IT,2,Onsite,46,1,Low,Depression,Neutral,1,Daily,Good,Asia
32,Male,Marketing,Education,1,Onsite,58,0,Low,Anxiety,Neutral,5,None,Poor,Asia
44,Non-binary,HR,Consulting,29,Hybrid,52,7,Medium,Burnout,Unsatisfied,2,Daily,Poor,Asia
31,Female,Software Engineer,Manufacturing,21,Onsite,24,7,Medium,None,Neutral,4,None,Good,Asia
54,Prefer not to say,Sales,IT,32,Hybrid,59,3,Low,Anxiety,Satisfied,1,Weekly,Poor,Asia
41,Female,HR,Finance,6,Hybrid,48,0,Low,Burnout,Satisfied,4,None,Good,Asia
41,Prefer not to say,Project Manager,Consulting,34,Hybrid,44,9,Low,None,Neutral,5,Weekly,Good,Asia
31,Non-binary,HR,Finance,9,Remote,26,7,Low,None,Neutral,2,Daily,Good,Asia
28,Male,Designer,Manufacturing,23,Remote,46,7,Medium,None,Unsatisfied,3,Daily,Poor,Asia
56,Non-binary,Sales,Retail,30,Onsite,28,15,Medium,Burnout,Satisfied,5,Daily,Poor,Asia
56,Male,Designer,IT,27,Remote,50,8,High,Burnout,Neutral,4,None,Poor,Asia
56,Non-binary,HR,IT,13,Remote,58,14,High,Anxiety,Neutral,2,Daily,Poor,Asia
