Age,Gender,Job_Role,Industry,Years_of_Experience,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Stress_Level,Mental_Health_Condition,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality,Region
32,Non-binary,HR,Healthcare,13,Hybrid,47,7,Medium,Depression,Unsatisfied,1,Weekly,Good,Europe
27,Male,Software Engineer,Finance,20,Onsite,32,8,High,Depression,Unsatisfied,3,None,Poor,Europe
56,Prefer not to say,Data Scientist,Healthcare,9,Hybrid,24,4,High,None,Unsatisfied,4,Daily,Poor,Europe
40,Female,Marketing,Consulting,1,Remote,21,7,High,Depression,Neutral,1,Weekly,Good,Europe
45,Non-binary,Data Scientist,Consulting,20,Onsite,37,8,Low,Burnout,Neutral,5,Weekly,Good,Europe
47,Prefer not to say,Sales,IT,22,Onsite,33,10,High,Depression,Satisfied,1,Daily,Poor,Europe
36,Male,Designer,IT,24,Hybrid,22,6,Medium,Depression,Unsatisfied,3,Weekly,Average,Europe
46,Prefer not to say,Sales,Healthcare,28,Hybrid,57,8,Low,None,Neutral,5,None,Poor,Europe
30,Non-binary,Data Scientist,IT,22,Remote,44,15,High,Burnout,Neutral,5,Daily,Poor,Europe
54,Prefer not to say,Project Manager,Finance,26,Remote,58,6,High,None,Unsatisfied,3,Weekly,Poor,Europe
54,Female,Designer,Manufacturing,12,Remote,53,12,Medium,Depression,Unsatisfied,3,None,Average,Europe
35,Male,Project Manager,Retail,11,Onsite,37,3,Medium,Burnout,Satisfied,3,None,Average,Europe
26,Non-binary,HR,Manufacturing,34,Onsite,28,10,High,Anxiety,Satisfied,4,Daily,Good,Europe
25,Non-binary,Sales,Consulting,4,Hybrid,33,14,Medium,Depression,Unsatisfied,2,Daily,Good,Europe
56,Male,HR,Finance,9,Remote,31,3,Medium,Anxiety,Satisfied,4,Weekly,Poor,Europe
31,Non-binary,HR,Consulting,4,Onsite,55,8,High,Depression,Unsatisfied,2,Weekly,Good,Europe
26,Female,Project Manager,Healthcare,15,Hybrid,43,6,High,Burnout,Unsatisfied,3,None,Poor,Europe
46,Non-binary,Data Scientist,Education,34,Remote,54,12,High,Depression,Satisfied,4,None,Average,Europe
44,Prefer not to say,Software Engineer,Healthcare,27,Hybrid,44,2,High,Anxiety,Satisfied,5,Weekly,Poor,Europe
45,Female,Marketing,Retail,10,Remote,30,7,Low,Depression,Satisfied,5,None,Poor,Europe
45,Prefer not to say,Data Scientist,Retail,21,Onsite,53,0,Low,None,Neutral,5,Daily,Poor,Europe
58,Female,Data Scientist,Education,25,Remote,42,13,High,Burnout,Satisfied,3,Daily,Good,Europe
38,Female,Data Scientist,Manufacturing,1,Hybrid,22,4,Medium,Burnout,Satisfied,3,Daily,Average,Europe
43,Non-binary,Marketing,Retail,18,Hybrid,48,6,High,Depression,Unsatisfied,3,None,Good,Europe
51,Female,Project Manager,Finance,21,Remote,34,0,High,None,Unsatisfied,2,None,Average,Europe
27,Female,Designer,Consulting,15,Onsite,46,12,Medium,Burnout,Unsatisfied,2,Daily,Poor,Europe
26,Non-binary,Marketing,Manufacturing,29,Hybrid,29,4,Low,None,Satisfied,2,Weekly,Good,Europe
23,Female,Designer,Manufacturing,11,Hybrid,23,0,High,None,Unsatisfied,1,Weekly,Poor,Europe
48,Non-binary,Marketing,Consulting,5,Remote,41,8,Medium,Depression,Satisfied,4,Weekly,Poor,Europe
34,Prefer not to say,HR,Healthcare,15,Remote,50,13,Medium,None,Satisfied,2,Daily,Average,Europe
50,Prefer not to say,Project Manager,Manufacturing,10,Hybrid,50,0,Low,Burnout,Satisfied,3,Daily,Poor,Europe
36,Male,Data Scientist,Retail,33,Onsite,45,3,Medium,Depression,Unsatisfied,4,None,Good,Europe
34,Non-binary,HR,Education,10,Onsite,60,3,Low,None,Unsatisfied,5,Daily,Good,Europe
32,Prefer not to say,Project Manager,Healthcare,12,Remote,35,7,Low,Anxiety,Satisfied,4,Daily,Average,Europe
40,Female,Project Manager,Finance,31,Onsite,47,10,Medium,None,Neutral,2,Weekly,Good,Europe
30,Non-binary,Data Scientist,IT,22,Remote,43,5,Medium,Burnout,Neutral,2,Daily,Poor,Europe
26,Male,Designer,Healthcare,21,Onsite,56,14,Low,Burnout,Satisfied,1,Weekly,Average,Europe
24,Prefer not to say,HR,Manufacturing,13,Hybrid,60,0,Medium,Depression,Neutral,2,Daily,Good,Europe
