Age,Gender,Job_Role,Industry,Years_of_Experience,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Stress_Level,Mental_Health_Condition,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality,Region
59,Non-binary,Software Engineer,Education,22,Hybrid,46,11,Medium,Anxiety,Unsatisfied,5,None,Poor,North America
49,Male,Sales,Consulting,32,Onsite,35,12,High,None,Unsatisfied,3,Weekly,Average,North America
42,Non-binary,Data Scientist,Manufacturing,6,Onsite,54,7,Medium,Depression,Satisfied,4,None,Average,North America
30,Female,HR,IT,28,Hybrid,57,6,Low,Depression,Neutral,1,Weekly,Poor,North America
51,Non-binary,Designer,Manufacturing,5,Hybrid,45,13,Low,Anxiety,Satisfied,5,Weekly,Poor,North America
26,Non-binary,Sales,Education,21,Onsite,54,12,Medium,Depression,Unsatisfied,4,Daily,Poor,North America
56,Male,Sales,Finance,6,Remote,54,15,Low,Burnout,Neutral,4,Daily,Average,North America
36,Non-binary,Project Manager,Retail,30,Onsite,24,12,High,None,Unsatisfied,4,None,Poor,North America
59,Male,Software Engineer,Healthcare,34,Remote,25,15,High,Depression,Satisfied,1,Weekly,Poor,North America
37,Prefer not to say,Marketing,Manufacturing,4,Hybrid,33,14,Medium,Depression,Satisfied,5,None,Average,North America
45,Prefer not to say,Project Manager,Manufacturing,29,Remote,20,14,Medium,Anxiety,Satisfied,5,Daily,Good,North America
48,Male,Software Engineer,Healthcare,27,Remote,26,9,Medium,Anxiety,Neutral,4,Daily,Average,North America
53,Male,Project Manager,IT,14,Onsite,29,13,Low,None,Unsatisfied,5,None,Good,North America
32,Male,Marketing,Retail,24,Remote,42,8,Medium,Burnout,Neutral,3,Daily,Poor,North America
33,Female,Sales,IT,14,Remote,30,15,Medium,Depression,Unsatisfied,5,Daily,Good,North America
25,Female,Marketing,Finance,6,Remote,28,13,Low,None,Neutral,1,Daily,Good,North America
43,Prefer not to say,Marketing,Consulting,23,Onsite,39,4,Medium,Anxiety,Satisfied,1,Weekly,Average,North America
58,Prefer not to say,HR,Education,32,Hybrid,26,10,High,Depression,Unsatisfied,2,Weekly,Good,North America
55,Prefer not to say,Project Manager,Manufacturing,10,Onsite,27,0,Low,Anxiety,Satisfied,1,Weekly,Poor,North America
24,Female,Designer,Consulting,11,Remote,38,0,High,Anxiety,Neutral,2,None,Poor,North America
34,Prefer not to say,Project Manager,Finance,5,Onsite,44,14,Medium,Burnout,Satisfied,3,Daily,Good,North America
58,Prefer not to say,Sales,Consulting,14,Onsite,59,7,Low,None,Satisfied,5,Weekly,Average,North America
36,Female,Marketing,Retail,8,Onsite,38,2,Medium,Burnout,Unsatisfied,1,Daily,Good,North America
57,Non-binary,Data Scientist,Education,34,Remote,30,11,High,None,Unsatisfied,5,None,Poor,North America
55,Prefer not to say,Designer,Finance,3,Onsite,33,6,Low,Burnout,Satisfied,2,Daily,Good,North America
45,Male,Designer,Finance,14,Remote,44,10,Low,Anxiety,Unsatisfied,5,Daily,Average,North America
30,Male,Software Engineer,Consulting,17,Remote,57,5,Low,None,Unsatisfied,4,Weekly,Average,North America
47,Female,Project Manager,Healthcare,31,Onsite,20,8,Low,None,Neutral,1,None,Good,North America
32,Male,Data Scientist,Finance,21,Hybrid,43,15,High,Depression,Neutral,3,Weekly,Good,North America
38,Male,Designer,Retail,19,Remote,23,7,Low,None,Neutral,3,None,Poor,North America
25,Prefer not to say,Designer,Manufacturing,35,Remote,36,9,High,None,Neutral,4,Weekly,Good,North America
58,Prefer not to say,Marketing,Manufacturing,14,Hybrid,55,12,Medium,Depression,Satisfied,4,None,Good,North America
45,Male,Data Scientist,Education,15,Remote,33,8,Low,Burnout,Satisfied,2,None,Poor,North America
37,Female,Software Engineer,Retail,16,Hybrid,27,2,Medium,Anxiety,Unsatisfied,3,Weekly,Poor,North America
39,Male,Sales,Education,7,Remote,47,0,Medium,None,Neutral,4,None,Poor,North America
39,Male,Marketing,Manufacturing,19,Remote,32,2,High,Anxiety,Satisfied,4,Weekly,Average,North America
60,Prefer not to say,Marketing,Manufacturing,33,Onsite,58,8,Low,Burnout,Satisfied,4,None,Poor,North America
50,Non-binary,Designer,Manufacturing,1,Remote,30,5,Low,Anxiety,Unsatisfied,2,Daily,Average,North America
56,Non-binary,Marketing,IT,4,Remote,41,14,Low,Depression,Neutral,1,Weekly,Good,North America
22,Non-binary,Sales,Manufacturing,2,Onsite,59,13,High,Burnout,Satisfied,3,Weekly,Poor,North America
59,Prefer not to say,Software Engineer,Finance,17,Onsite,47,11,High,Anxiety,Neutral,3,Weekly,Poor,North America
57,Non-binary,Software Engineer,Manufacturing,3,Onsite,40,12,High,None,Neutral,3,Weekly,Poor,North America
37,Prefer not to say,Software Engineer,Healthcare,25,Hybrid,33,11,Medium,Anxiety,Satisfied,5,None,Good,North America
34,Prefer not to say,Marketing,Retail,14,Remote,25,2,Medium,Anxiety,Neutral,2,None,Poor,North America
39,Prefer not to say,Data Scientist,Consulting,33,Hybrid,20,4,Low,None,Satisfied,3,None,Good,North America
45,Female,Marketing,Finance,9,Remote,30,14,Low,None,Neutral,2,None,Good,North America
23,Male,Software Engineer,Consulting,3,Onsite,31,14,Medium,Depression,Satisfied,2,Weekly,Average,North America
50,Male,Marketing,Education,22,Remote,20,3,Medium,Burnout,Satisfied,4,None,Poor,North America
54,Non-binary,Marketing,Consulting,19,Hybrid,55,4,High,Anxiety,Satisfied,4,Weekly,Poor,North America
47,Prefer not to say,Sales,Consulting,31,Onsite,21,15,Low,Depression,Unsatisfied,5,None,Average,North America
38,Non-binary,Designer,Consulting,4,Hybrid,47,15,Medium,None,Neutral,2,Daily,Poor,North America
52,Female,Data Scientist,Manufacturing,18,Remote,52,0,High,Burnout,Unsatisfied,2,None,Good,North America
44,Male,Project Manager,Finance,20,Onsite,41,14,Medium,Depression,Unsatisfied,3,None,Poor,North America
52,Female,Software Engineer,Education,29,Remote,32,7,High,Depression,Unsatisfied,5,None,Good,North America
55,Prefer not to say,HR,Healthcare,18,Onsite,54,12,Medium,Anxiety,Neutral,3,None,Average,North America
