Age,Gender,Job_Role,Industry,Years_of_Experience,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Stress_Level,Mental_Health_Condition,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality,Region
33,Non-binary,Software Engineer,Finance,17,Remote,48,3,High,None,Satisfied,2,Weekly,Average,Oceania
36,Prefer not to say,Project Manager,Retail,23,Remote,59,11,High,Anxiety,Neutral,3,Weekly,Average,Oceania
49,Non-binary,Software Engineer,IT,30,Remote,36,6,High,Anxiety,Satisfied,2,Weekly,Good,Oceania
53,Female,Project Manager,Retail,31,Onsite,56,4,Low,Depression,Unsatisfied,4,None,Poor,Oceania
30,Female,Sales,Consulting,4,Remote,39,2,High,None,Unsatisfied,4,None,Good,Oceania
26,Prefer not to say,Designer,Manufacturing,31,Remote,51,4,Low,None,Unsatisfied,3,Daily,Average,Oceania
26,Prefer not to say,Data Scientist,IT,17,Remote,57,13,Medium,None,Satisfied,5,Daily,Poor,Oceania
60,Prefer not to say,Data Scientist,Healthcare,18,Hybrid,37,0,Medium,Burnout,Unsatisfied,2,None,Good,Oceania
45,Non-binary,Software Engineer,IT,6,Hybrid,46,3,Medium,Burnout,Satisfied,2,Daily,Good,Oceania
60,Female,Marketing,Education,32,Remote,20,6,High,None,Unsatisfied,4,Weekly,Poor,Oceania
50,Prefer not to say,Designer,Consulting,25,Remote,29,13,Medium,Depression,Neutral,2,Weekly,Average,Oceania
56,Male,Designer,Retail,9,Hybrid,42,14,Low,None,Unsatisfied,5,None,Good,Oceania
53,Prefer not to say,Marketing,Healthcare,23,Hybrid,38,4,Low,Depression,Unsatisfied,4,Daily,Poor,Oceania
50,Prefer not to say,Software Engineer,Healthcare,2,Remote,50,2,Medium,Burnout,Satisfied,2,Weekly,Poor,Oceania
53,Female,Designer,Healthcare,25,Remote,29,5,High,Anxiety,Neutral,3,None,Poor,Oceania
22,Female,Sales,Retail,21,Hybrid,35,2,Low,None,Unsatisfied,3,None,Average,Oceania
60,Male,Marketing,Finance,2,Hybrid,39,1,Medium,None,Unsatisfied,2,Weekly,Poor,Oceania
51,Non-binary,Marketing,IT,26,Remote,46,4,Medium,Burnout,Unsatisfied,5,None,Good,Oceania
48,Non-binary,Sales,IT,10,Remote,32,4,Medium,None,Satisfied,5,Weekly,Poor,Oceania
41,Female,Designer,IT,10,Onsite,52,8,High,Depression,Satisfied,4,Daily,Good,Oceania
50,Male,Designer,Consulting,17,Onsite,57,11,Low,Burnout,Unsatisfied,3,Weekly,Good,Oceania
41,Female,Software Engineer,Consulting,34,Remote,32,15,High,Anxiety,Unsatisfied,3,Weekly,Average,Oceania
57,Female,Designer,Consulting,20,Remote,31,6,Low,Burnout,Satisfied,4,Daily,Poor,Oceania
43,Non-binary,Software Engineer,Healthcare,14,Onsite,52,0,High,Burnout,Satisfied,3,Weekly,Good,Oceania
40,Male,Software Engineer,Healthcare,11,Onsite,20,13,Medium,Burnout,Neutral,1,None,Good,Oceania
57,Non-binary,HR,Manufacturing,11,Hybrid,59,13,Medium,Anxiety,Unsatisfied,4,Weekly,Average,Oceania
23,Prefer not to say,Software Engineer,Consulting,17,Onsite,60,13,High,None,Neutral,5,Daily,Good,Oceania
40,Prefer not to say,Data Scientist,IT,35,Hybrid,43,4,High,Burnout,Unsatisfied,3,Weekly,Average,Oceania
56,Female,Designer,Healthcare,28,Onsite,46,12,Low,Anxiety,Neutral,5,None,Good,Oceania
28,Male,Project Manager,Retail,7,Remote,47,0,High,Burnout,Unsatisfied,3,Daily,Poor,Oceania
45,Non-binary,Sales,Education,3,Hybrid,55,14,Medium,Burnout,Neutral,1,Daily,Average,Oceania
52,Male,Data Scientist,Finance,5,Onsite,21,3,Low,Burnout,Satisfied,5,Daily,Poor,Oceania
47,Female,Software Engineer,Manufacturing,11,Onsite,35,8,High,None,Satisfied,4,None,Good,Oceania
30,Male,HR,Education,11,Onsite,56,13,Medium,Depression,Satisfied,4,None,Poor,Oceania
42,Prefer not to say,Project Manager,Retail,18,Hybrid,48,9,Medium,None,Satisfied,5,None,Good,Oceania
30,Female,Marketing,Consulting,32,Onsite,57,4,Medium,Burnout,Neutral,5,Weekly,Good,Oceania
37,Male,Marketing,Healthcare,29,Onsite,34,3,Low,Burnout,Satisfied,2,Weekly,Poor,Oceania
37,Male,Data Scientist,Finance,18,Remote,23,11,Low,Burnout,Unsatisfied,4,None,Average,Oceania
35,Male,HR,Education,6,Onsite,58,15,High,Depression,Neutral,2,Weekly,Poor,Oceania
34,Non-binary,Project Manager,Education,10,Remote,40,1,Medium,Depression,Neutral,4,Weekly,Good,Oceania
32,Male,Project Manager,Manufacturing,17,Onsite,47,4,Medium,None,Unsatisfied,4,None,Poor,Oceania
32,Male,Project Manager,Education,21,Hybrid,32,0,High,Depression,Unsatisfied,1,Weekly,Good,Oceania
43,Prefer not to say,Sales,IT,21,Hybrid,23,8,Low,Anxiety,Neutral,3,Daily,Average,Oceania
27,Male,Project Manager,Education,25,Hybrid,32,13,Medium,Burnout,Unsatisfied,5,Weekly,Average,Oceania
43,Male,Designer,Healthcare,34,Hybrid,49,11,Medium,Burnout,Satisfied,3,None,Poor,Oceania
31,Female,Data Scientist,Education,9,Remote,30,9,Medium,Anxiety,Satisfied,3,Daily,Average,Oceania
41,Prefer not to say,HR,Finance,28,Hybrid,32,8,Medium,Depression,Satisfied,2,Daily,Poor,Oceania
60,Prefer not to say,Sales,Consulting,7,Onsite,53,10,Low,Depression,Satisfied,3,Weekly,Poor,Oceania
24,Non-binary,Project Manager,Manufacturing,12,Hybrid,20,14,Low,Depression,Neutral,2,Daily,Poor,Oceania
47,Female,Data Scientist,Finance,6,Hybrid,28,0,Low,None,Satisfied,2,None,Poor,Oceania
24,Non-binary,Designer,Retail,16,Remote,21,4,Medium,Anxiety,Neutral,3,Daily,Average,Oceania
43,Female,Data Scientist,Finance,16,Onsite,37,8,Medium,None,Neutral,4,Weekly,Good,Oceania
36,Female,Marketing,Finance,4,Hybrid,52,13,High,Anxiety,Unsatisfied,1,None,Good,Oceania
50,Male,Designer,Manufacturing,2,Onsite,49,7,Low,None,Satisfied,3,Daily,Poor,Oceania
54,Male,Designer,Healthcare,13,Remote,33,0,High,Depression,Satisfied,3,Weekly,Average,Oceania
58,Male,Marketing,IT,11,Onsite,25,6,High,Anxiety,Unsatisfied,4,Daily,Poor,Oceania
41,Non-binary,Data Scientist,Healthcare,33,Onsite,28,1,Medium,None,Satisfied,5,None,Average,Oceania
34,Prefer not to say,Sales,Healthcare,25,Remote,39,8,Medium,None,Unsatisfied,2,Weekly,Average,Oceania
39,Prefer not to say,Software Engineer,Healthcare,8,Hybrid,58,14,High,None,Unsatisfied,3,Daily,Poor,Oceania
29,Non-binary,Designer,IT,26,Hybrid,34,3,Low,Anxiety,Neutral,2,Daily,Good,Oceania
27,Male,Marketing,Consulting,15,Remote,32,14,High,Burnout,Neutral,1,None,Poor,Oceania
31,Non-binary,Project Manager,Healthcare,4,Remote,25,9,High,Anxiety,Unsatisfied,2,Weekly,Average,Oceania
43,Prefer not to say,Project Manager,Finance,3,Hybrid,55,12,Medium,Anxiety,Neutral,5,Weekly,Average,Oceania
53,Female,HR,Retail,10,Remote,31,9,Low,Burnout,Satisfied,1,Daily,Poor,Oceania
30,Male,Data Scientist,Manufacturing,14,Onsite,56,14,Medium,Burnout,Satisfied,5,Daily,Poor,Oceania
50,Non-binary,HR,Consulting,22,Onsite,47,10,Medium,Burnout,Unsatisfied,5,Daily,Poor,Oceania
23,Prefer not to say,Marketing,Finance,5,Remote,37,11,Medium,None,Satisfied,3,None,Good,Oceania
41,Prefer not to say,Sales,IT,19,Onsite,29,4,Low,Anxiety,Satisfied,5,None,Average,Oceania
33,Male,Project Manager,Consulting,10,Hybrid,42,12,High,None,Unsatisfied,2,None,Average,Oceania
45,Female,Designer,Finance,11,Hybrid,41,10,Low,Burnout,Neutral,1,None,Poor,Oceania
