Age,Gender,Job_Role,Industry,Years_of_Experience,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Stress_Level,Mental_Health_Condition,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality,Region
59,Non-binary,Sales,IT,31,Hybrid,39,3,High,None,Unsatisfied,1,None,Average,South America
59,Male,Software Engineer,Consulting,13,Remote,59,4,Medium,Anxiety,Neutral,1,Daily,Average,South America
26,Female,Sales,Retail,33,Hybrid,21,1,Low,Burnout,Satisfied,1,Weekly,Poor,South America
49,Male,Project Manager,Healthcare,23,Onsite,21,14,High,Burnout,Neutral,3,None,Good,South America
57,Prefer not to say,HR,Retail,13,Remote,23,6,High,Anxiety,Neutral,2,Daily,Good,South America
33,Male,Data Scientist,Education,33,Remote,35,15,Medium,Burnout,Unsatisfied,5,Weekly,Good,South America
47,Male,Sales,Consulting,25,Remote,31,9,Low,None,Satisfied,1,None,Good,South America
42,Female,Software Engineer,Retail,3,Onsite,26,14,Medium,None,Satisfied,2,Daily,Good,South America
53,Prefer not to say,HR,IT,7,Onsite,49,6,Low,None,Satisfied,3,None,Average,South America
22,Female,Software Engineer,Healthcare,5,Onsite,31,15,Medium,Depression,Satisfied,5,None,Good,South America
32,Female,Designer,Manufacturing,23,Onsite,51,8,High,Anxiety,Neutral,1,Daily,Average,South America
28,Female,Marketing,Healthcare,25,Remote,37,10,Medium,Anxiety,Satisfied,1,Daily,Average,South America
29,Male,Data Scientist,Manufacturing,15,Remote,51,5,High,Burnout,Neutral,1,Daily,Average,South America
42,Non-binary,Software Engineer,Finance,33,Onsite,44,9,High,Depression,Neutral,2,Daily,Poor,South America
22,Female,Software Engineer,Manufacturing,9,Onsite,60,3,High,Burnout,Satisfied,5,Weekly,Good,South America
48,Male,Designer,IT,32,Hybrid,25,1,Low,Burnout,Neutral,3,Weekly,Average,South America
43,Non-binary,Data Scientist,Healthcare,18,Onsite,60,2,High,Burnout,Neutral,3,Daily,Good,South America
29,Prefer not to say,HR,IT,25,Onsite,35,14,Medium,Anxiety,Neutral,2,Daily,Good,South America
29,Male,Marketing,Education,35,Onsite,27,1,Medium,Anxiety,Unsatisfied,3,Weekly,Good,South America
45,Prefer not to say,Project Manager,Manufacturing,29,Onsite,51,13,High,Anxiety,Neutral,5,Daily,Average,South America
42,Non-binary,HR,Manufacturing,27,Remote,26,14,High,Depression,Unsatisfied,4,Daily,Average,South America
53,Prefer not to say,Data Scientist,Finance,27,Hybrid,60,1,Low,Burnout,Unsatisfied,4,None,Average,South America
53,Male,Marketing,Retail,4,Onsite,57,10,Medium,None,Neutral,2,Weekly,Good,South America
44,Male,Data Scientist,Healthcare,14,Remote,26,9,High,Burnout,Neutral,5,Daily,Good,South America
33,Prefer not to say,Project Manager,Finance,23,Hybrid,26,0,High,None,Satisfied,2,Weekly,Average,South America
43,Male,Designer,Manufacturing,6,Onsite,50,14,Low,Depression,Unsatisfied,3,Daily,Average,South America
29,Prefer not to say,Designer,Consulting,3,Hybrid,55,11,High,Depression,Unsatisfied,2,Weekly,Poor,South America
35,Non-binary,Software Engineer,Finance,11,Hybrid,25,4,Medium,Burnout,Satisfied,3,Weekly,Good,South America
56,Female,HR,Healthcare,32,Hybrid,57,10,High,None,Satisfied,4,None,Good,South America
44,Non-binary,HR,Education,17,Hybrid,22,9,Medium,None,Unsatisfied,1,None,Good,South America
49,Non-binary,Marketing,Consulting,29,Remote,45,9,Low,None,Unsatisfied,4,Weekly,Good,South America
51,Female,Software Engineer,Healthcare,4,Onsite,43,1,Medium,Depression,Unsatisfied,2,Weekly,Average,South America
52,Male,Sales,IT,29,Onsite,23,12,Medium,Depression,Neutral,1,Daily,Average,South America
59,Non-binary,Marketing,Manufacturing,13,Hybrid,40,2,Low,None,Neutral,4,Weekly,Average,South America
36,Female,Data Scientist,Finance,3,Remote,53,7,High,Burnout,Unsatisfied,2,Daily,Average,South America
58,Male,Sales,Consulting,18,Hybrid,39,14,Low,Burnout,Neutral,1,Weekly,Good,South America
46,Prefer not to say,Marketing,Consulting,30,Remote,33,8,Low,Depression,Neutral,4,Daily,Average,South America
42,Male,Sales,Manufacturing,23,Hybrid,32,5,Low,Burnout,Unsatisfied,1,Weekly,Good,South America
40,Female,Data Scientist,Healthcare,6,Remote,22,0,Medium,None,Satisfied,4,Weekly,Average,South America
51,Prefer not to say,Software Engineer,Manufacturing,24,Hybrid,46,10,Low,None,Neutral,1,Daily,Poor,South America
53,Female,Project Manager,IT,25,Hybrid,38,2,Low,Anxiety,Satisfied,3,None,Good,South America
38,Male,Data Scientist,Healthcare,25,Remote,59,12,Low,Anxiety,Neutral,1,Weekly,Average,South America
38,Non-binary,Project Manager,Manufacturing,26,Hybrid,50,9,High,Anxiety,Satisfied,2,Weekly,Good,South America
48,Male,Project Manager,Manufacturing,33,Hybrid,58,13,Medium,Burnout,Satisfied,5,None,Average,South America
43,Non-binary,HR,Consulting,15,Onsite,26,4,Medium,Anxiety,Unsatisfied,3,None,Average,South America
44,Non-binary,HR,Finance,3,Onsite,57,5,High,Anxiety,Satisfied,5,Weekly,Good,South America
41,Non-binary,Software Engineer,Education,20,Remote,21,0,High,None,Neutral,2,Weekly,Average,South America
30,Non-binary,Sales,IT,15,Onsite,40,7,Low,Anxiety,Neutral,1,Daily,Good,South America
23,Prefer not to say,Marketing,Education,31,Onsite,48,9,Medium,None,Unsatisfied,5,None,Good,South America
33,Prefer not to say,HR,Healthcare,2,Onsite,24,12,High,Depression,Neutral,4,Daily,Poor,South America
60,Female,Software Engineer,IT,31,Onsite,22,9,High,Burnout,Unsatisfied,2,Daily,Poor,South America
42,Non-binary,Designer,IT,2,Onsite,41,5,High,None,Neutral,5,Weekly,Poor,South America
42,Female,Data Scientist,Finance,15,Remote,21,7,High,Burnout,Satisfied,5,None,Average,South America
25,Prefer not to say,Designer,Manufacturing,6,Remote,37,11,High,Burnout,Unsatisfied,2,Weekly,Average,South America
33,Non-binary,Software Engineer,Retail,3,Onsite,31,3,Low,Depression,Satisfied,2,None,Good,South America
48,Male,Sales,Healthcare,2,Remote,58,3,Low,Depression,Satisfied,2,None,Good,South America
49,Male,Sales,Manufacturing,6,Remote,20,7,Medium,Anxiety,Neutral,4,Weekly,Average,South America
38,Non-binary,Designer,Manufacturing,11,Onsite,22,10,Medium,None,Satisfied,4,None,Average,South America
40,Male,Project Manager,IT,9,Onsite,32,4,High,Anxiety,Unsatisfied,2,Weekly,Good,South America
33,Non-binary,Sales,IT,12,Hybrid,22,6,Medium,None,Neutral,2,Weekly,Poor,South America
39,Female,Data Scientist,Manufacturing,33,Remote,34,5,High,Burnout,Satisfied,2,Daily,Good,South America
31,Prefer not to say,Designer,IT,7,Hybrid,48,4,Medium,None,Neutral,4,None,Poor,South America
59,Male,Project Manager,Education,18,Remote,34,14,Medium,Anxiety,Neutral,4,Weekly,Poor,South America
32,Female,Sales,Consulting,18,Remote,28,0,High,Depression,Neutral,3,Weekly,Good,South America
55,Female,Marketing,Retail,29,Remote,26,10,Medium,None,Unsatisfied,1,Weekly,Good,South America
