Age,Gender,Job_Role,Industry,Years_of_Experience,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Stress_Level,Mental_Health_Condition,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality,Region
32,Non-binary,HR,Healthcare,13,Hybrid,47,7,Medium,Depression,Unsatisfied,1,Weekly,Good,Europe
40,Female,Data Scientist,IT,3,Remote,52,4,Medium,Anxiety,Satisfied,2,Weekly,Good,Asia
59,Non-binary,Software Engineer,Education,22,Hybrid,46,11,Medium,Anxiety,Unsatisfied,5,None,Poor,North America
27,Male,Software Engineer,Finance,20,Onsite,32,8,High,Depression,Unsatisfied,3,None,Poor,Europe
49,Male,Sales,Consulting,32,Onsite,35,12,High,None,Unsatisfied,3,Weekly,Average,North America
59,Non-binary,Sales,IT,31,Hybrid,39,3,High,None,Unsatisfied,1,None,Average,South America
31,Prefer not to say,Sales,IT,24,Remote,51,7,Low,Anxiety,Neutral,3,Daily,Poor,Asia
42,Non-binary,Data Scientist,Manufacturing,6,Onsite,54,7,Medium,Depression,Satisfied,4,None,Average,North America
56,Prefer not to say,Data Scientist,Healthcare,9,Hybrid,24,4,High,None,Unsatisfied,4,Daily,Poor,Europe
30,Female,HR,IT,28,Hybrid,57,6,Low,Depression,Neutral,1,Weekly,Poor,North America
33,Non-binary,Software Engineer,Finance,17,Remote,48,3,High,None,Satisfied,2,Weekly,Average,Oceania
47,Female,Marketing,Consulting,31,Hybrid,26,12,Medium,None,Neutral,3,Weekly,Poor,Africa
40,Female,Marketing,Consulting,1,Remote,21,7,High,Depression,Neutral,1,Weekly,Good,Europe
51,Non-binary,Designer,Manufacturing,5,Hybrid,45,13,Low,Anxiety,Satisfied,5,Weekly,Poor,North America
36,Prefer not to say,Project Manager,Retail,23,Remote,59,11,High,Anxiety,Neutral,3,Weekly,Average,Oceania
56,Female,Sales,Healthcare,13,Remote,44,11,Low,Anxiety,Satisfied,4,Weekly,Average,Africa
33,Prefer not to say,HR,Education,3,Onsite,52,9,Medium,None,Satisfied,1,Weekly,Good,Africa
45,Non-binary,Data Scientist,Consulting,20,Onsite,37,8,Low,Burnout,Neutral,5,Weekly,Good,Europe
49,Non-binary,Software Engineer,IT,30,Remote,36,6,High,Anxiety,Satisfied,2,Weekly,Good,Oceania
59,Male,Software Engineer,Consulting,13,Remote,59,4,Medium,Anxiety,Neutral,1,Daily,Average,South America
26,Female,Sales,Retail,33,Hybrid,21,1,Low,Burnout,Satisfied,1,Weekly,Poor,South America
26,Non-binary,Sales,Education,21,Onsite,54,12,Medium,Depression,Unsatisfied,4,Daily,Poor,North America
43,Prefer not to say,Sales,Finance,21,Onsite,57,1,Low,Depression,Satisfied,4,Daily,Average,Africa
53,Non-binary,Marketing,Consulting,11,Onsite,22,12,Low,Depression,Neutral,3,Weekly,Poor,Asia
56,Male,Sales,Finance,6,Remote,54,15,Low,Burnout,Neutral,4,Daily,Average,North America
49,Male,Project Manager,Healthcare,23,Onsite,21,14,High,Burnout,Neutral,3,None,Good,South America
36,Non-binary,Project Manager,Retail,30,Onsite,24,12,High,None,Unsatisfied,4,None,Poor,North America
53,Female,Project Manager,Retail,31,Onsite,56,4,Low,Depression,Unsatisfied,4,None,Poor,Oceania
47,Prefer not to say,Sales,IT,22,Onsite,33,10,High,Depression,Satisfied,1,Daily,Poor,Europe
59,Male,Software Engineer,Healthcare,34,Remote,25,15,High,Depression,Satisfied,1,Weekly,Poor,North America
22,Female,Data Scientist,IT,22,Onsite,20,11,Low,Anxiety,Neutral,2,Weekly,Average,Asia
37,Prefer not to say,Marketing,Manufacturing,4,Hybrid,33,14,Medium,Depression,Satisfied,5,None,Average,North America
45,Prefer not to say,Project Manager,Manufacturing,29,Remote,20,14,Medium,Anxiety,Satisfied,5,Daily,Good,North America
48,Male,Software Engineer,Healthcare,27,Remote,26,9,Medium,Anxiety,Neutral,4,Daily,Average,North America
36,Male,Designer,IT,24,Hybrid,22,6,Medium,Depression,Unsatisfied,3,Weekly,Average,Europe
46,Prefer not to say,Sales,Healthcare,28,Hybrid,57,8,Low,None,Neutral,5,None,Poor,Europe
48,Male,Sales,Finance,10,Onsite,30,12,Low,Depression,Satisfied,3,None,Poor,Asia
31,Female,Designer,Healthcare,18,Remote,47,14,Low,None,Satisfied,5,Daily,Good,Asia
24,Non-binary,Sales,IT,21,Onsite,48,12,Low,Anxiety,Neutral,1,Weekly,Average,Africa
49,Male,Marketing,Consulting,20,Hybrid,20,1,High,None,Unsatisfied,5,Weekly,Poor,Asia
30,Non-binary,Data Scientist,IT,22,Remote,44,15,High,Burnout,Neutral,5,Daily,Poor,Europe
53,Male,Project Manager,IT,14,Onsite,29,13,Low,None,Unsatisfied,5,None,Good,North America
54,Prefer not to say,Project Manager,Finance,26,Remote,58,6,High,None,Unsatisfied,3,Weekly,Poor,Europe
54,Female,Designer,Manufacturing,12,Remote,53,12,Medium,Depression,Unsatisfied,3,None,Average,Europe
57,Prefer not to say,HR,Retail,13,Remote,23,6,High,Anxiety,Neutral,2,Daily,Good,South America
32,Male,Marketing,Retail,24,Remote,42,8,Medium,Burnout,Neutral,3,Daily,Poor,North America
33,Male,Data Scientist,Education,33,Remote,35,15,Medium,Burnout,Unsatisfied,5,Weekly,Good,South America
30,Female,Sales,Consulting,4,Remote,39,2,High,None,Unsatisfied,4,None,Good,Oceania
22,Female,HR,Healthcare,7,Onsite,29,9,Low,None,Neutral,3,Daily,Poor,Africa
35,Male,Project Manager,Retail,11,Onsite,37,3,Medium,Burnout,Satisfied,3,None,Average,Europe
26,Non-binary,HR,Manufacturing,34,Onsite,28,10,High,Anxiety,Satisfied,4,Daily,Good,Europe
47,Male,Sales,Consulting,25,Remote,31,9,Low,None,Satisfied,1,None,Good,South America
42,Female,Software Engineer,Retail,3,Onsite,26,14,Medium,None,Satisfied,2,Daily,Good,South America
60,Prefer not to say,Project Manager,Healthcare,34,Onsite,46,15,Medium,Depression,Neutral,1,None,Average,Asia
26,Female,Software Engineer,Education,5,Hybrid,55,6,Medium,Burnout,Satisfied,1,Daily,Poor,Asia
30,Non-binary,Project Manager,Education,8,Hybrid,47,12,Low,Anxiety,Neutral,5,Daily,Good,Africa
42,Male,Software Engineer,IT,14,Remote,48,13,Low,Depression,Neutral,5,None,Good,Asia
53,Prefer not to say,HR,IT,7,Onsite,49,6,Low,None,Satisfied,3,None,Average,South America
26,Prefer not to say,Designer,Manufacturing,31,Remote,51,4,Low,None,Unsatisfied,3,Daily,Average,Oceania
26,Prefer not to say,Data Scientist,IT,17,Remote,57,13,Medium,None,Satisfied,5,Daily,Poor,Oceania
25,Non-binary,Sales,Consulting,4,Hybrid,33,14,Medium,Depression,Unsatisfied,2,Daily,Good,Europe
33,Female,Sales,IT,14,Remote,30,15,Medium,Depression,Unsatisfied,5,Daily,Good,North America
25,Non-binary,Project Manager,Finance,20,Hybrid,28,4,Medium,Depression,Satisfied,2,None,Poor,Asia
22,Female,Software Engineer,Healthcare,5,Onsite,31,15,Medium,Depression,Satisfied,5,None,Good,South America
60,Prefer not to say,Data Scientist,Healthcare,18,Hybrid,37,0,Medium,Burnout,Unsatisfied,2,None,Good,Oceania
56,Male,HR,Finance,9,Remote,31,3,Medium,Anxiety,Satisfied,4,Weekly,Poor,Europe
45,Non-binary,Software Engineer,IT,6,Hybrid,46,3,Medium,Burnout,Satisfied,2,Daily,Good,Oceania
60,Female,Marketing,Education,32,Remote,20,6,High,None,Unsatisfied,4,Weekly,Poor,Oceania
32,Female,Designer,Manufacturing,23,Onsite,51,8,High,Anxiety,Neutral,1,Daily,Average,South America
25,Female,Marketing,Finance,6,Remote,28,13,Low,None,Neutral,1,Daily,Good,North America
43,Prefer not to say,Marketing,Consulting,23,Onsite,39,4,Medium,Anxiety,Satisfied,1,Weekly,Average,North America
50,Prefer not to say,Designer,Consulting,25,Remote,29,13,Medium,Depression,Neutral,2,Weekly,Average,Oceania
28,Prefer not to say,Designer,Retail,15,Onsite,30,14,High,Burnout,Unsatisfied,1,Weekly,Good,Africa
23,Non-binary,Software Engineer,IT,29,Hybrid,53,7,High,Anxiety,Neutral,1,None,Poor,Africa
38,Prefer not to say,Project Manager,Consulting,35,Onsite,57,10,Medium,Burnout,Neutral,3,Weekly,Poor,Africa
42,Male,Marketing,Retail,27,Onsite,49,3,High,Anxiety,Satisfied,3,None,Good,Asia
31,Non-binary,HR,Consulting,4,Onsite,55,8,High,Depression,Unsatisfied,2,Weekly,Good,Europe
28,Female,Marketing,Healthcare,25,Remote,37,10,Medium,Anxiety,Satisfied,1,Daily,Average,South America
29,Male,Data Scientist,Manufacturing,15,Remote,51,5,High,Burnout,Neutral,1,Daily,Average,South America
27,Male,Project Manager,Consulting,21,Hybrid,21,7,Low,Burnout,Unsatisfied,3,Weekly,Average,Asia
54,Female,Data Scientist,Education,5,Hybrid,21,10,High,Burnout,Satisfied,4,None,Poor,Asia
42,Non-binary,Software Engineer,Finance,33,Onsite,44,9,High,Depression,Neutral,2,Daily,Poor,South America
58,Prefer not to say,HR,Education,32,Hybrid,26,10,High,Depression,Unsatisfied,2,Weekly,Good,North America
26,Female,Project Manager,Healthcare,15,Hybrid,43,6,High,Burnout,Unsatisfied,3,None,Poor,Europe
56,Male,Designer,Retail,9,Hybrid,42,14,Low,None,Unsatisfied,5,None,Good,Oceania
50,Male,Designer,Finance,20,Hybrid,44,8,Low,Burnout,Unsatisfied,4,Daily,Poor,Asia
55,Prefer not to say,Project Manager,Manufacturing,10,Onsite,27,0,Low,Anxiety,Satisfied,1,Weekly,Poor,North America
22,Prefer not to say,Data Scientist,Education,26,Hybrid,43,5,Medium,None,Unsatisfied,2,Weekly,Poor,Africa
24,Female,Designer,Consulting,11,Remote,38,0,High,Anxiety,Neutral,2,None,Poor,North America
53,Prefer not to say,Marketing,Healthcare,23,Hybrid,38,4,Low,Depression,Unsatisfied,4,Daily,Poor,Oceania
57,Female,Data Scientist,Retail,2,Onsite,57,4,Medium,Depression,Unsatisfied,2,Weekly,Average,Africa
22,Female,Software Engineer,Manufacturing,9,Onsite,60,3,High,Burnout,Satisfied,5,Weekly,Good,South America
41,Male,Data Scientist,IT,31,Onsite,29,0,Medium,Burnout,Satisfied,5,None,Poor,Asia
46,Non-binary,Data Scientist,Education,34,Remote,54,12,High,Depression,Satisfied,4,None,Average,Europe
60,Non-binary,Project Manager,Education,11,Onsite,31,11,High,None,Neutral,4,Weekly,Average,Africa
44,Female,Project Manager,Manufacturing,2,Remote,54,8,Low,Burnout,Satisfied,3,None,Good,Asia
35,Male,Data Scientist,Healthcare,31,Hybrid,33,11,High,Burnout,Neutral,5,Weekly,Poor,Africa
48,Male,Designer,IT,32,Hybrid,25,1,Low,Burnout,Neutral,3,Weekly,Average,South America
31,Prefer not to say,Data Scientist,Healthcare,19,Onsite,21,15,Low,Burnout,Satisfied,5,Daily,Good,Asia
53,Male,Project Manager,IT,12,Hybrid,45,10,Medium,None,Satisfied,4,Daily,Good,Africa
32,Prefer not to say,Designer,Manufacturing,32,Onsite,53,5,Medium,Depression,Satisfied,1,None,Poor,Asia
33,Prefer not to say,Sales,Consulting,9,Hybrid,46,12,High,Burnout,Neutral,2,Daily,Poor,Africa
45,Prefer not to say,Sales,IT,3,Hybrid,22,9,High,Burnout,Satisfied,4,None,Good,Africa
50,Male,Software Engineer,Finance,18,Hybrid,60,12,High,Depression,Satisfied,5,None,Good,Africa
41,Female,Designer,Education,30,Hybrid,42,2,Low,Depression,Satisfied,3,Weekly,Average,Africa
43,Non-binary,Data Scientist,Healthcare,18,Onsite,60,2,High,Burnout,Neutral,3,Daily,Good,South America
29,Prefer not to say,HR,IT,25,Onsite,35,14,Medium,Anxiety,Neutral,2,Daily,Good,South America
44,Prefer not to say,Software Engineer,Healthcare,27,Hybrid,44,2,High,Anxiety,Satisfied,5,Weekly,Poor,Europe
50,Prefer not to say,Software Engineer,Healthcare,2,Remote,50,2,Medium,Burnout,Satisfied,2,Weekly,Poor,Oceania
36,Male,Data Scientist,Finance,4,Remote,22,7,Low,Burnout,Neutral,5,Daily,Good,Asia
34,Female,Data Scientist,Education,29,Hybrid,29,13,High,Anxiety,Unsatisfied,5,Weekly,Average,Africa
49,Male,HR,Finance,30,Remote,34,8,Low,Burnout,Unsatisfied,1,Weekly,Good,Africa
45,Female,Marketing,Retail,10,Remote,30,7,Low,Depression,Satisfied,5,None,Poor,Europe
45,Prefer not to say,Data Scientist,Retail,21,Onsite,53,0,Low,None,Neutral,5,Daily,Poor,Europe
53,Female,Designer,Healthcare,25,Remote,29,5,High,Anxiety,Neutral,3,None,Poor,Oceania
29,Male,Marketing,Education,35,Onsite,27,1,Medium,Anxiety,Unsatisfied,3,Weekly,Good,South America
34,Prefer not to say,Project Manager,Finance,5,Onsite,44,14,Medium,Burnout,Satisfied,3,Daily,Good,North America
58,Female,Data Scientist,Education,25,Remote,42,13,High,Burnout,Satisfied,3,Daily,Good,Europe
38,Female,Data Scientist,Manufacturing,1,Hybrid,22,4,Medium,Burnout,Satisfied,3,Daily,Average,Europe
40,Prefer not to say,Project Manager,Consulting,27,Hybrid,34,13,Medium,None,Unsatisfied,5,Daily,Average,Africa
45,Prefer not to say,Project Manager,Manufacturing,29,Onsite,51,13,High,Anxiety,Neutral,5,Daily,Average,South America
43,Non-binary,Marketing,Retail,18,Hybrid,48,6,High,Depression,Unsatisfied,3,None,Good,Europe
50,Male,Software Engineer,Healthcare,35,Onsite,30,10,High,Anxiety,Unsatisfied,1,None,Good,Africa
58,Prefer not to say,Sales,Consulting,14,Onsite,59,7,Low,None,Satisfied,5,Weekly,Average,North America
42,Non-binary,HR,Manufacturing,27,Remote,26,14,High,Depression,Unsatisfied,4,Daily,Average,South America
53,Prefer not to say,Data Scientist,Finance,27,Hybrid,60,1,Low,Burnout,Unsatisfied,4,None,Average,South America
36,Female,Marketing,Retail,8,Onsite,38,2,Medium,Burnout,Unsatisfied,1,Daily,Good,North America
51,Female,Project Manager,Finance,21,Remote,34,0,High,None,Unsatisfied,2,None,Average,Europe
27,Female,Designer,Consulting,15,Onsite,46,12,Medium,Burnout,Unsatisfied,2,Daily,Poor,Europe
22,Female,Sales,Retail,21,Hybrid,35,2,Low,None,Unsatisfied,3,None,Average,Oceania
32,Female,Designer,Education,16,Remote,23,9,Medium,None,Neutral,5,Weekly,Good,Africa
32,Female,Marketing,Manufacturing,26,Remote,28,15,Low,Burnout,Unsatisfied,4,Weekly,Average,Africa
53,Male,Marketing,Retail,4,Onsite,57,10,Medium,None,Neutral,2,Weekly,Good,South America
26,Non-binary,Marketing,Manufacturing,29,Hybrid,29,4,Low,None,Satisfied,2,Weekly,Good,Europe
60,Male,Marketing,Finance,2,Hybrid,39,1,Medium,None,Unsatisfied,2,Weekly,Poor,Oceania
51,Non-binary,Marketing,IT,26,Remote,46,4,Medium,Burnout,Unsatisfied,5,None,Good,Oceania
44,Male,Data Scientist,Healthcare,14,Remote,26,9,High,Burnout,Neutral,5,Daily,Good,South America
48,Non-binary,Sales,IT,10,Remote,32,4,Medium,None,Satisfied,5,Weekly,Poor,Oceania
57,Non-binary,Data Scientist,Education,34,Remote,30,11,High,None,Unsatisfied,5,None,Poor,North America
49,Non-binary,Project Manager,Education,11,Hybrid,48,3,Low,Anxiety,Satisfied,1,Weekly,Average,Asia
32,Non-binary,Project Manager,Education,12,Onsite,44,13,High,Anxiety,Satisfied,5,Weekly,Poor,Africa
49,Female,Project Manager,Healthcare,29,Hybrid,49,15,Low,Burnout,Neutral,4,None,Poor,Asia
23,Female,Designer,Manufacturing,11,Hybrid,23,0,High,None,Unsatisfied,1,Weekly,Poor,Europe
55,Prefer not to say,Designer,Finance,3,Onsite,33,6,Low,Burnout,Satisfied,2,Daily,Good,North America
